,banque,lat,long,geometry,index_right,delegation,OBJECTID,C_DELEG,LABEL,C_SECT,LABEL_AR,municipalite,circonscription,gouvernorat,CODE_GOUV,Shape__Area,Shape__Length
0,abc,36.8362745,10.2279069,POINT (10.2279069 36.8362745),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
9,abc,36.8471161,10.1982902,POINT (10.1982902 36.8471161),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
16,abc,36.8362745,10.2279069,POINT (10.2279069 36.8362745),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
18,amen,36.821501,10.189833,POINT (10.189833 36.821501),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
21,amen,36.817084,10.187658,POINT (10.187658 36.817084),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
23,amen,36.837918,10.192481,POINT (10.192481 36.837918),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
24,amen,36.828778,10.202745,POINT (10.202745 36.828778),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
25,amen,36.837986,10.237275,POINT (10.237275 36.837986),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
26,amen,36.832814,10.236257,POINT (10.236257 36.832814),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
28,amen,36.831727,10.188824,POINT (10.188824 36.831727),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
29,amen,36.850365,10.192278,POINT (10.192278 36.850365),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
34,amen,36.823987,10.184289,POINT (10.184289 36.823987),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
128,atb,36.8427865,10.20121070000005,POINT (10.20121070000005 36.8427865),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
138,atb,36.8398002,10.24217099999998,POINT (10.24217099999998 36.8398002),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
147,atb,36.81824640000001,10.18343770000001,POINT (10.18343770000001 36.81824640000001),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
149,atb,36.84505369999999,10.18339149999997,POINT (10.18339149999997 36.84505369999999),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
154,atb,36.82681669999999,10.18375719999994,POINT (10.18375719999994 36.82681669999999),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
157,atb,36.8300628,10.19372440000006,POINT (10.19372440000006 36.8300628),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
244,attijari,36.828944,10.19138599999997,POINT (10.19138599999997 36.828944),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
300,attijari,36.835508,10.241538,POINT (10.241538 36.835508),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
306,attijari,36.835771,10.22861499999999,POINT (10.22861499999999 36.835771),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
323,attijari,36.827287,10.179756,POINT (10.179756 36.827287),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
386,attijari,36.84999,10.19801600000005,POINT (10.19801600000005 36.84999),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
403,attijari,36.838489,10.20281999999997,POINT (10.20281999999997 36.838489),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
404,attijari,36.845861,10.18818199999998,POINT (10.18818199999998 36.845861),38,Cité El Khadhra,63,1159,CITE EL KHADRA,115951,حي الخضراء,Tunis,Tunis_2,Tunis,11,2.93554033135024e-05,0.0209605066094749
