gouvernorat,2013,2014,2015,2016,2017,2018,2019,2020,2021
Tunisie,10895219,11012486,11158628,11292778,11418219,11532078,11638066,11726178,11783722
Tunis,1051199,1057782,1063180,1065858,1068095,1069579,1071244,1073249,1075015
Ariana,560772,579260,595769,611885,627141,641433,654315,662694,667354
Ben Arous,619728,634594,648978,663083,676781,689954,701984,710502,715490
Manouba,375774,380951,388200,395069,402164,409416,415907,420445,423111
Nabeul,779764,790694,804551,817502,829962,841806,852668,861260,866838
Zaghouan,175676,177434,179804,181947,183988,185897,187663,189176,190127
Bizerte,564941,569541,575449,580241,584594,588354,591937,595240,597490
Beja,304027,303446,304844,305454,306005,306398,306782,307507,308148
Jendouba,404240,401903,403123,403316,403407,403253,403344,404100,404738
Le Kef,245542,243581,245054,245748,246149,246189,246313,246820,247289
Siliana,224898,223395,224788,225939,226665,226883,227198,227992,228691
Sousse,662487,677501,690464,702917,714694,725647,735746,743278,747887
Monastir,540097,550791,560875,570593,579908,588694,596693,602659,606401
Mahdia,408318,412019,418281,424380,429839,434566,439059,443075,445704
Sfax,947051,958113,970931,982251,992812,1002358,1011259,1018373,1022900
Kairouan,569454,571296,575733,580680,585001,588493,591901,596221,599560
Kasserine,437493,440061,444113,447869,451338,454430,457353,460820,463497
Sidi Bouzid,427318,430899,435905,440665,444825,448273,451612,455062,457537
Gabes,371848,375333,380630,385723,390569,395091,399264,402691,404829
Mednine,475670,480921,488012,494741,501056,506822,512164,516385,519074
Tataouine,149210,149537,149859,150065,150312,150508,150770,151323,151750
Gafsa,336763,337921,341019,344075,346715,348799,350826,352809,354169
Tozeur,107067,108188,109593,110930,112162,113254,114275,115119,115675
Kebeli,155883,157322,159473,161849,164038,165981,167790,169378,170450
